API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Mar  2 11:19:51 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-18 12:17:00.0000 TDB
Stop  time      : A.D. 2026-Apr-20 12:17:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
 X = 1.106252546973915E+00 Y = 1.456355389719374E-01 Z = 7.579205524284898E-03
 VX= 9.752742792087996E-03 VY= 2.917666573044458E-02 VZ= 1.233309354720177E-02
 LT= 6.444458481332619E-03 RG= 1.115823396534729E+00 RR= 1.356095515699262E-02
2461150.678472222 = A.D. 2026-Apr-20 04:17:00.0000 TDB 
 X = 1.106657949799224E+00 Y = 1.468520992765030E-01 Z = 8.093635290764843E-03
 VX= 9.706567652095573E-03 VY= 2.921822086239991E-02 VZ= 1.235953377575354E-02
 LT= 6.447721162711134E-03 RG= 1.116388312303545E+00 RR= 1.355499759375283E-02
2461150.720138889 = A.D. 2026-Apr-20 05:17:00.0000 TDB 
 X = 1.107061425512611E+00 Y = 1.480703900395157E-01 Z = 8.609166548955931E-03
 VX= 9.660241385636733E-03 VY= 2.925972768553427E-02 VZ= 1.238596512607169E-02
 LT= 6.450982407419219E-03 RG= 1.116952979320587E+00 RR= 1.354901504973940E-02
2461150.761805556 = A.D. 2026-Apr-20 06:17:00.0000 TDB 
 X = 1.107462967812868E+00 Y = 1.492904092418001E-01 Z = 9.125798926017982E-03
 VX= 9.613763787684864E-03 VY= 2.930118589680080E-02 VZ= 1.241238745815812E-02
 LT= 6.454242209429354E-03 RG= 1.117517396542223E+00 RR= 1.354300739203568E-02
2461150.803472222 = A.D. 2026-Apr-20 07:17:00.0000 TDB 
 X = 1.107862570390239E+00 Y = 1.505121548515209E-01 Z = 9.643532043260534E-03
 VX= 9.567134652841041E-03 VY= 2.934259519159216E-02 VZ= 1.243880063119884E-02
 LT= 6.457500562681938E-03 RG= 1.118081562919264E+00 RR= 1.353697448684969E-02
2461150.845138889 = A.D. 2026-Apr-20 08:17:00.0000 TDB 
 X = 1.108260226926401E+00 Y = 1.517356248241187E-01 Z = 1.016236551610878E-02
 VX= 9.520353775339286E-03 VY= 2.938395526373008E-02 VZ= 1.246520450355792E-02
 LT= 6.460757461085063E-03 RG= 1.118645477396931E+00 RR= 1.353091619951237E-02
2461150.886805556 = A.D. 2026-Apr-20 09:17:00.0000 TDB 
 X = 1.108655931094451E+00 Y = 1.529608171022435E-01 Z = 1.068229895406926E-02
 VX= 9.473420949051925E-03 VY= 2.942526580545492E-02 VZ= 1.249159893277131E-02
 LT= 6.464012898514311E-03 RG= 1.119209138914812E+00 RR= 1.352483239447554E-02
2461150.928472222 = A.D. 2026-Apr-20 10:17:00.0000 TDB 
 X = 1.109049676558888E+00 Y = 1.541877296156885E-01 Z = 1.120333196069508E-02
 VX= 9.426335967495097E-03 VY= 2.946652650741530E-02 VZ= 1.251798377554075E-02
 LT= 6.467266868812531E-03 RG= 1.119772546406830E+00 RR= 1.351872293531018E-02
2461150.970138889 = A.D. 2026-Apr-20 11:17:00.0000 TDB 
 X = 1.109441456975602E+00 Y = 1.554163602813244E-01 Z = 1.172546413355107E-02
 VX= 9.379098623834348E-03 VY= 2.950773705865758E-02 VZ= 1.254435888772761E-02
 LT= 6.470519365789647E-03 RG= 1.120335698801207E+00 RR= 1.351258768470450E-02
2461151.011805556 = A.D. 2026-Apr-20 12:17:00.0000 TDB 
 X = 1.109831265991857E+00 Y = 1.566467070030317E-01 Z = 1.224869506417876E-02
 VX= 9.331708710890408E-03 VY= 2.954889714661547E-02 VZ= 1.257072412434670E-02
 LT= 6.473770383222421E-03 RG= 1.120898595020422E+00 RR= 1.350642650446229E-02
$$EOE
*******************************************************************************
 
TIME

  Barycentric Dynamical Time ("TDB" or T_eph) output was requested. This
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  International Celestial Reference Frame (ICRF)

    The ICRF is an adopted reference frame whose axes are defined relative to 
    fixed extragalactic radio sources distributed across the sky.

    The ICRF was aligned with the prior FK5/J2000 dynamical system at the ~0.02 
    arcsecond level but is not identical and has no associated standard epoch.

  Symbol meaning [1 au= 149597870.700 km, 1 day= 86400.0 s]:

    JDTDB    Julian Day Number, Barycentric Dynamical Time
      X      X-component of position vector (au)
      Y      Y-component of position vector (au)
      Z      Z-component of position vector (au)
      VX     X-component of velocity vector (au/day)                           
      VY     Y-component of velocity vector (au/day)                           
      VZ     Z-component of velocity vector (au/day)                           
      LT     One-way down-leg Newtonian light-time (day)
      RG     Range; distance from coordinate center (au)
      RR     Range-rate; radial velocity wrt coord. center (au/day)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
