API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Mar  2 11:20:26 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Jan-14 04:48:00.0000 TDB
Stop  time      : A.D. 2023-Jan-16 04:48:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
2459960.325000000 = A.D. 2023-Jan-15 19:48:00.0000 TDB 
 X = 5.228835469432392E+00 Y = 2.912374706651528E-01 Z = 3.722593771083239E-03
 VX= 1.400813533969495E-02 VY= 1.380426140311009E-02 VZ= 5.994126358430174E-03
 LT= 3.024605009765209E-02 RG= 5.236941234004643E+00 RR= 1.475839871867180E-02
2459960.366666667 = A.D. 2023-Jan-15 20:48:00.0000 TDB 
 X = 5.229419020570635E+00 Y = 2.918128659203357E-01 Z = 3.972443601097612E-03
 VX= 1.400231941356603E-02 VY= 1.381471074596974E-02 VZ= 5.998665493596153E-03
 LT= 3.024960122396857E-02 RG= 5.237556092466289E+00 RR= 1.475480812120814E-02
2459960.408333333 = A.D. 2023-Jan-15 21:48:00.0000 TDB 
 X = 5.230002329389722E+00 Y = 2.923886965612205E-01 Z = 4.222482567335473E-03
 VX= 1.399650392657079E-02 VY= 1.382516012738479E-02 VZ= 6.003204996032711E-03
 LT= 3.025315148669375E-02 RG= 5.238170801401737E+00 RR= 1.475122137988329E-02
2459960.450000000 = A.D. 2023-Jan-15 22:48:00.0000 TDB 
 X = 5.230585395894763E+00 Y = 2.929649626151500E-01 Z = 4.472710697155337E-03
 VX= 1.399068821060545E-02 VY= 1.383561076759989E-02 VZ= 6.007745436649276E-03
 LT= 3.025670088668817E-02 RG= 5.238785360959986E+00 RR= 1.474763789851477E-02
2459960.491666667 = A.D. 2023-Jan-15 23:48:00.0000 TDB 
 X = 5.231168220058762E+00 Y = 2.935416641582190E-01 Z = 4.723128040637771E-03
 VX= 1.398487139581337E-02 VY= 1.384606378165688E-02 VZ= 6.012287332917929E-03
 LT= 3.026024942464371E-02 RG= 5.239399771260828E+00 RR= 1.474405687432339E-02
2459960.533333333 = A.D. 2023-Jan-16 00:48:00.0000 TDB 
 X = 5.231750801814632E+00 Y = 2.941188013103029E-01 Z = 4.973734668084036E-03
 VX= 1.397905243159837E-02 VY= 1.385652015150990E-02 VZ= 6.016831135948916E-03
 LT= 3.026379710103608E-02 RG= 5.240014032386632E+00 RR= 1.474047731726215E-02
2459960.575000000 = A.D. 2023-Jan-16 01:48:00.0000 TDB 
 X = 5.232333141048191E+00 Y = 2.946963742289856E-01 Z = 5.224530667011115E-03
 VX= 1.397323011248339E-02 VY= 1.386698070154373E-02 VZ= 6.021377219266365E-03
 LT= 3.026734391608260E-02 RG= 5.240628144375026E+00 RR= 1.473689807435049E-02
2459960.616666667 = A.D. 2023-Jan-16 02:48:00.0000 TDB 
 X = 5.232915237592309E+00 Y = 2.952743831025589E-01 Z = 5.475516138720155E-03
 VX= 1.396740310805865E-02 VY= 1.387744607830669E-02 VZ= 6.025925869657339E-03
 LT= 3.027088986970637E-02 RG= 5.241242107212694E+00 RR= 1.473331785830852E-02
2459960.658333333 = A.D. 2023-Jan-16 03:48:00.0000 TDB 
 X = 5.233497091222394E+00 Y = 2.958528281422728E-01 Z = 5.726691194532683E-03
 VX= 1.396156999610050E-02 VY= 1.388791673511193E-02 VZ= 6.030477280390220E-03
 LT= 3.027443496150772E-02 RG= 5.241855920830434E+00 RR= 1.472973527961552E-02
2459960.700000000 = A.D. 2023-Jan-16 04:48:00.0000 TDB 
 X = 5.234078701653295E+00 Y = 2.964317095740545E-01 Z = 5.978055951797113E-03
 VX= 1.395572929782067E-02 VY= 1.389839292196164E-02 VZ= 6.035031547001705E-03
 LT= 3.027797919074376E-02 RG= 5.242469585099622E+00 RR= 1.472614888098447E-02
$$EOE
*******************************************************************************
 
TIME

  Barycentric Dynamical Time ("TDB" or T_eph) output was requested. This
continuous coordinate time is equivalent to the relativistic proper time
of a clock at rest in a reference frame co-moving with the solar system
barycenter but outside the system's gravity well. It is the independent
variable in the solar system relativistic equations of motion.

  TDB runs at a uniform rate of one SI second per second and is independent
of irregularities in Earth's rotation.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

REFERENCE FRAME AND COORDINATES

  International Celestial Reference Frame (ICRF)

    The ICRF is an adopted reference frame whose axes are defined relative to 
    fixed extragalactic radio sources distributed across the sky.

    The ICRF was aligned with the prior FK5/J2000 dynamical system at the ~0.02 
    arcsecond level but is not identical and has no associated standard epoch.

  Symbol meaning [1 au= 149597870.700 km, 1 day= 86400.0 s]:

    JDTDB    Julian Day Number, Barycentric Dynamical Time
      X      X-component of position vector (au)
      Y      Y-component of position vector (au)
      Z      Z-component of position vector (au)
      VX     X-component of velocity vector (au/day)                           
      VY     Y-component of velocity vector (au/day)                           
      VZ     Z-component of velocity vector (au/day)                           
      LT     One-way down-leg Newtonian light-time (day)
      RG     Range; distance from coordinate center (au)
      RR     Range-rate; radial velocity wrt coord. center (au/day)

ABERRATIONS AND CORRECTIONS

 Geometric state vectors have NO corrections or aberrations applied.

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov
*******************************************************************************
